title|description
hot money|Money in bank balances or liquid securities which is liable to rapid removal to other countries if the holders suspect that the currency will depreciate. An inflow of hot money may make a country’s balance-of-payments situation look satisfactory, but also makes it subject to sudden deterioration.
hours of work|The number of hours per day or per week that a worker is contracted to perform. This may be decided by negotiation, individually or through trade unions, or limited by law. Work in excess of these hours is overtime; work for less is short-time, if temporary, or part-time, if regular.
household|A group of people living together in shared accommodation and with common domestic expenses. A household usually but not always contains people who are related or cohabiting. Although individuals are the recipients of incomes, the household is the unit through which much consumption expenditure is decided. The *Living Costs and Food Survey is a source of detailed information on the composition of household expenditure in the UK, and the *Consumer Expenditure Survey a source for the US.
household decision-making|A model of collective decision-making on consumption and labour supply inside a household in which a sharing rule specifies how the collective budget is distributed among the household members. Household decision-making is cooperative if all members pursue the maximization of a common objective function. It is non-cooperative if the members pursue personal objectives and engage in *strategic interaction with other household members.
household production|Production of goods and services within the household, rather than through formal or informal market organizations. In pre-industrial societies, and in some *less developed countries, a substantial proportion of economic activity takes this form. In modern economies it is less important, though this is partly a matter of accounting conventions. A considerable part of people’s time even in advanced economies is taken up with tasks like cookery, cleaning, childcare, gardening, driving and car maintenance, and do-it-yourself building and decorating. All these can in principle be provided commercially, and are performed by employees in some households. These services are generally ignored in national income accounting.
housing association|A non-profit-making body providing low-cost housing for people who cannot afford to become owner–occupiers, or cannot competently manage their own housing. Dwellings may be for rent, or for purchase on concessional terms. Housing associations in the UK are financed by a mixture of charitable donations, public funding, and commercial borrowing.
housing benefit|Payments under the UK social security system to assist low-income households with the costs of rented accommodation. The reason for having a separate benefit for housing is the existence of wide variations in housing costs between areas and different types of housing tenure. For this reason, housing benefit is administered by local authorities.
human capital|The stock of knowledge, skills, and abilities that determine the labour productivity of an individual. Investment in human capital through education and training can increase the stock, and such investment is one of the sources of *economic growth. See also physical capital.
Human Development Index|(HDI) A composite measure of development of a country introduced by the *United Nations Development Programme Human Development Report; a combination of the indicators of health (life expectancy at birth), education (mean years of schooling for adults aged 25 and expected years of schooling for children of school age), and living standards (*PPP-adjusted *gross national product per capita). By construction, the Human Development Index takes values between 0 and 1; in 2014 Norway had the highest (0.944) and Niger the lowest (0.348) HDI of 188 countries.
100 per cent gold backing|A reserve rule requiring the bank issuing a currency to hold gold of equal value. The only difference between this and a solid gold currency would be the saving in transaction costs from not having to handle the gold. This type of rule is generally regarded as unacceptable for the same reasons as the use of gold coinage itself.
hyperbolic discounting|An assumption on the rate of *time preference that reflects observations of a bias towards present rewards. With standard exponential discounting the discount rate between any two periods is constant. In contrast, with hyperbolic discounting the discount rate between any two successive periods declines as the time horizon increases, so that the *elasticity of intertemporal substitution depends on the timing of the change in the intertemporal price. A frequently used simplification of hyperbolic discounting is quasi-hyperbolic discounting, for which the lifetime utility from consumption is modelled as
hyperinflation|Very rapid inflation; it is sometimes reckoned to set in when price increases exceed 50 per cent per month. Such rapid inflation not merely makes money useless as a store of value, but seriously affects its use as a *medium of exchange, and greatly disrupts productive economic activity.
hypothecation|Originally a pledge of property as collateral for a mortgage without transfer of possession to the party making the loan. Now hypothecation is also used to describe a tax collected for a specific purpose. See also earmarking.
hypothesis testing|A part of statistical inference; an algorithm for addressing a question of interest, usually put forward by a theory. A typical procedure consists of (1) setting the *null hypothesis and the alternative hypothesis (i.e. formulating the question as a simple claim and the refutation of this claim), as well as the level of significance (the probability of *type I error); (2) choosing an appropriate test statistic (a quantity whose distribution depends on whether the claim is true); (3) establishing the distribution of the test statistic under the assumption that the null hypothesis is true; (4) computing the value of the statistic from the data and making the decision to reject or not to reject the null hypothesis, usually by comparing the value of the test statistic with the *critical values of the distribution under the null hypothesis. Alternatively, the *p-value of the test statistic can be used to determine the probability of making a mistake by rejecting the null hypothesis.
hysteresis|In economics, the property of a dynamic system to retain a memory or lagging effect in which the order of previous events can influence the order of subsequent events. If a system with hysteresis that is initially in equilibrium is subjected to a shock, its new equilibrium position depends on what happens during the process of dynamic adjustment (the *path dependence property). In *behavioural economics, when the disutility from a loss is greater than the utility from an equal gain, the utility of a person going through a cycle of gaining and losing exhibits hysteresis: after subsequent events of a gain and a loss of an item they are worse off than if they had never received the initial gain.
identification problem|The problem of estimating the parameters of *structural equations when only equilibrium positions can be observed. For example, in the market for a particular good, if demand conditions vary and supply conditions do not, comparing prices and quantities at different times allows us to determine the supply equation; if supply conditions vary and demand conditions do not, we can estimate the demand equation; but if both supply and demand conditions vary, regressing quantity on price tells us nothing. The identification problem can be resolved only if either theory or the results of other studies inform us that some explanatory variables affect one side of the market but not the other.
idiosyncratic risk|Risk of a type which affects each individual case largely independent of others. This could apply to the risk of an individual dying, of a house catching fire, or a car being involved in an accident, during any period. If risk is idiosyncratic an insurance company can insure customers while keeping its own overall risk exposure relatively small. The same argument applies to investment portfolios: idiosyncratic risks in asset returns tend to cancel out in a diversified portfolio. This is contrasted with market risk, where events such as a slump, a flu epidemic, or a hurricane affect large numbers of individuals in a similar manner.
if and only if|(iff) Equivalence between two statements. ‘If A then B’ means A is a sufficient condition for B and B is a necessary condition for A. ‘If B then A’ means B is a sufficient condition for A and A is a necessary condition for B. Both statements being true implies ‘A if and only if B’ (written ‘A iff B’) which means that each of A and B is a *necessary and sufficient condition for the other; either both are true or both are false. The two statements are thus equivalent.
illiquidity|1. The property of not being easily turned into money. Some assets are illiquid because there are no markets on which they can easily be traded: for example, unsecured loans to bank customers. Other assets are illiquid because, while they can be traded, the price that can be obtained may be hard to predict, especially if a quick sale is required. This applies to shares in companies, or to houses. This is contrasted with *liquidity, the property of being able to be turned into money rapidly and at a fairly predictable price. Apart from money itself, short-dated securities or bills are the main asset of this form.
immigration|Movement of foreign nationals to reside in a country; this does not include people on short visits, for business, study, or as tourists. Immigrants may arrive with the intention of permanent settlement, arrive with the intention of returning home after a prolonged stay, or be uncertain at the time of arrival how long they will wish to stay. Immigration is motivated by ‘push’ and ‘pull’ factors. Push factors could be poverty or persecution in the country migrants are leaving; pull factors could be economic opportunity or freedom in the country they move to.
immiserizing growth|Growth of national or regional production which actually decreases welfare. This could occur if the effect of growth of part of the world economy was to worsen its *terms of trade so much that its welfare actually fell. This is unlikely for a single country, as even if growth worsens its terms of trade, much of the resulting loss falls on other countries exporting similar products. It could conceivably apply to a group of countries specializing on exporting a product in *inelastic demand, for example oil exporters. It has been suggested that it could apply to *less developed countries as a group: this seems unlikely given the wide variety of goods they export, many of them manufactures with elastic world demand. It must be remembered that worse terms of trade do not necessarily imply immiserizing growth: if trade accounts for 20 per cent of national income, the terms of trade have to worsen by over 5 per cent for each 1 per cent growth of output for growth to be immiserizing.
immobile factors|Factors which do not move readily between sectors, regions, or countries when relative rewards or job opportunities change. Immobility of labour between occupations may be due to lack of qualifications, or to inadequate information on job opportunities. Labour mobility between regions or countries is restricted by social ties, and by housing markets which are often organized so as to favour those who stay put over those who move. Mobility between countries is also hindered by differences of language and social customs, and frequently by legal restrictions. Mobility of capital, while often greater than that of labour, is also limited by lack of information, by differences between countries in law and commercial practices, and in many cases by legal restrictions. See also factor mobility.
impact effect|The part of the effect of any economic event that acts immediately, or during a short time period. In the *multiplier–accelerator model, for example, the impact effect of an injection of investment, government spending, or exports is 1 unit of further income for each unit spent. After leakages into tax payments, savings, and imports, a second round of k units is created; then a further round of k2, and so on. The eventual multiplier effect adds up to 1/(1 − k), which is larger than the impact effect of 1. Some economic events have impact effects larger than their overall effects: for example, the change in the UK rules on mortgage tax relief for couples is widely seen as having boosted the house price boom of the late 1980s, though the eventual price effect was negligible.
imperfect competition|A market situation in which some market participants perceive they have the ability to influence the equilibrium price of its own product. *Monopoly is a market with a single seller, *monopsony a market with a single buyer. *Oligopoly arises when there is more than one seller. *Monopolistic competition describes a market where firms produce differentiated products but free entry drives equilibrium profit to zero. Imperfect competition is an example of *market failure: the equilibrium of an economy with imperfect competition is generally not *Pareto efficient. See also Bertrand competition; Cournot competition.
implicit contract|An understanding between parties on acceptable forms of behaviour that is not part of any formal agreement. Implicit contracts arise in many social situations and have been proposed as an explanation of labour market institutions. Implicit contracts usually develop over time and represent trust between parties. For example, it has been suggested that Coca-Cola has an implicit contract with its consumers not to alter the formulation of its standard cola product.
implicit cost|The opportunity cost of an action that does not directly involve monetary payment. The choice of an action involves the direct costs for which payments are made plus the implicit cost of forgoing the benefits of an action that could have been chosen. For example, when a firm produces using capital that it owns the implicit cost is the income it could have received by renting that capital to another firm. Implicit costs need to be taken into account when determining *economic profit.
implied volatility|The volatility of the underlying security that is implied by the market price of an *option contract. The market price for the option is observed and an option pricing formula (for example, the formula derived from solving the *Black–Scholes equation) is used to determine the volatility of the underlying security that is consistent with the price within the model used.
importables|Goods of types which could be imported, whether or not they actually are.
import control|Administrative restriction and allocation of imports. This may be imposed for balance-of-payments reasons, to reduce spending on imports, or for industrial policy reasons to protect domestic producers of import substitutes. Administrative import controls reduce competition in the economy, and provide opportunities for corruption; programmes of economic liberalization generally include the abolition of import controls, or their replacement by *tariffs.
import deposit|A requirement to place a blocked deposit in advance with the central bank as the condition for obtaining foreign currency to pay for imports. Such a deposit has the effect both of imposing a tax on imports, and of reducing the money supply in circulation.
Import Duties Act|The UK Act of Parliament passed in 1932 that marked the end of the era during which *free trade was the accepted normal national trading policy. The Import Duties Act imposed a 10 per cent tariff on most items from non-Commonwealth countries, excluding food and raw materials, thus ending free trade and starting the policy of Imperial Preference.
import duty|See tariff.
imported inflation|Inflation due to increases in the prices of imports. Increases in the prices of imported final products directly affect any expenditure-based measure of inflation. Increases in the prices of imported fuels, materials, and components increase domestic costs of production, and lead to increases in the prices of domestically produced goods. Imported inflation may be set off by foreign price increases, or by depreciation of a country’s exchange rate.
import levy|See tariff.
import licence|A permit from the government to import particular goods. The requirement for import licences may be intended to protect domestic producers from competition, to improve the balance of trade by restricting imports, or to facilitate government control over dangerous materials such as explosives.
import penetration|The proportion of the market for a particular type of good that is supplied by imports. A rise in import penetration may result from an increase in demand which cannot be met from domestic sources, from worsening of the *competitiveness of domestic suppliers, or from relaxation or removal of restrictions on imports.
import propensity|The proportion of the national income that is spent on imports. This can be measured both on average and at the margin. The short-run marginal propensity to import may be higher than the average, particularly at periods of high demand, because of supply constraints in the domestic economy.
import quota|A quantitative limit to imports of some type of good. This may be set in terms of value or in physical units. A tariff-quota system is a combination of import quotas and *tariffs whereby lower tariff rates apply to a specified quantity, or a quota, and higher rates apply to quantities that exceed this quota.
import restriction|See import control.
imports|Goods and services bought by residents of a country but provided by non-residents. Visible imports are goods physically brought into the country. Imports of services, or invisible imports, may involve the supplier entering the country, for example to put out oil-well fires, or residents going abroad to enjoy the services of hotels, or entertainments. For some invisible items, such as payment of royalties on patents, the location of the service is not defined. Capital import means accepting foreign loans or selling real domestic assets to non-residents. This should not be confused with the import of capital goods. Many countries in fact do both, but it is possible to import machinery without borrowing abroad, or to borrow abroad, for example to finance government spending on armaments, without importing capital goods.
import substitution|A strategy for the industrialization of *less developed countries (LDCs), of concentrating initially on replacing imports by domestically produced substitutes. This has the advantage that it is already known what markets exist for the products, but the disadvantage that as the imports most easily displaced fall, further progress becomes ever more difficult. If a country is small, its whole domestic market for a product may make it impossible for domestic producers to take full advantage of *economies of scale. The strategy of import substitution is contrasted with that of *export promotion, where LDCs’ industrial effort concentrates on products that can be sold in world markets.
import surcharge|A temporary additional tax on imports, imposed in addition to normal tariffs, in response to balance-of-payments problems. Such a temporary tax may be very effective in reducing imports, as it creates an incentive to postpone them until it has been removed.
import tariff|See tariff.
impure public good|A good that has some of the characteristics of a *public good but is not entirely non-rivalrous or non-excludable. An impure public good may be non-excludable but can become congested (see common access resource), or it may be non-rivalrous but exclusion may be possible (see club).
imputation system|The system of *corporation tax used in the UK from 1972 until 1999. Dividends distributed to shareholders were subject to tax, but taxes on company profits collected in *advance corporation tax were treated as tax credits at *basic rate for investors receiving dividends. Shareholders had the grossed-up value of their dividends treated as taxable income: if the basic rate of tax was t, the grossed-up value of dividends was the amount received multiplied by 1/(1 − t). With basic rate tax already paid, shareholders were liable only for the excess of their own marginal tax rate over basic rate, and could claim refunds if their marginal rate of tax was lower than basic rate or if they were not subject to income tax.
imputed charge for consumption of non-trading capital|An estimate of *capital consumption in respect of government assets such as offices, schools, or hospitals which are not run as profit-making businesses. The charge is in principle the amount which would need to be spent on new building to keep the real stock of assets constant.
imputed income|Income attributed to the owner of an asset which could have been rented out to somebody else to produce a cash income, where the owner in fact uses the asset themselves. An example of an imputed income is the rental value of *owner-occupied housing: this is included in both the national income and consumption in the UK national income accounts. The argument for this is that without it national income would appear to fall whenever a rented house was purchased by its tenant. In some countries, though not the UK, the imputed income from owner-occupied housing is subject to income tax.
imputed social contributions|The imputed value of social benefits provided by employers directly to their employees, former employees, or dependants that do not involve a pension fund or other special fund. The value of the imputed contributions is equal to the social contributions that would be required to obtain the same entitlements.
incentive compatibility|A mechanism is incentive compatible if it provides an incentive for economic agents to truthfully reveal private information. Consider the implementation of an income tax system. The private information of an individual worker is the level of skill, or productivity, in employment. The public information is the observed income of the individual which is the product of skill and the number of hours worked. The optimum allocation for the economy is defined by an income and consumption level for each level of skill. An income tax system is incentive compatible if it provides an incentive for every individual to earn the income the government desires for their skill level. By earning the required income each individual is implicitly revealing the unobservable level of skill. Incentive compatibility is imposed as a condition that any *incentive contract must satisfy.
incentive contract|A contract that incorporates *incentives designed to induce desired behaviour. See also agency theory.
incentives|Rewards or penalties designed to induce one set of economic agents to act in such a way as to produce results that another economic agent wants. As rewards for good results, incentives can include higher pay, better working conditions, better job security, better promotion prospects, or prestige. As penalties for poor results, incentives may take the form of lower pay, worse working conditions, poorer promotion prospects, demotion or sacking, or loss of reputation. Incentives may be applied in response to actual results, such as output or profits, or to management’s perceptions of inputs, such as attendance and disciplinary record. Incentives cannot be based on inputs or outputs unobservable by management. See also export incentives; incentive contract; investment incentives.
incidence of taxation|The distribution of the burden of taxation. There are two distinct concepts of incidence. The formal incidence of taxation refers to the legal liability to pay taxes. For example, the legal liability of the corporate tax falls upon the corporation. This is distinct from economic incidence which refers to the economic agents who suffer a welfare loss due to the imposition of the tax. For example, the economic incidence of the corporate tax may fall partly on the shareholders who receive a reduced dividend and partly on the customers who pay a higher price. The importance of the distinction is that the economic incidence determines the economic effects of a tax. In a competitive market the economic incidence of a tax on output is determined by the value of the elasticity of supply relative to the elasticity of demand. If demand is perfectly elastic the economic incidence falls on suppliers; if demand is perfectly inelastic the economic incidence falls on consumers. In all other cases the economic incidence is shared. A similar principle applies to the economic incidence of any tax. See also tax shifting.
income|1. The amount an individual can spend in a period while leaving his or her capital unchanged. For an individual with neither assets nor debts, personal income can be defined as receipts from wages, or earned income, plus receipts from transfers, such as pensions. Taxable income is this less any tax allowances. Net or disposable income is income after payment of direct taxes. Real income is money income deflated by a consumer price index, to find its purchasing power at constant prices. For an individual with assets or debts, income from rent, dividends, and interest, or unearned income, has to be added to earned and transfer income. Interest paid out should logically be deducted, though actual tax systems tend to restrict such deductions. For individuals with real or financial assets, the distinction between receipts which are treated as income and those which are treated as *capital gains is a highly technical and often arbitrary matter. For individuals with financial assets consisting of money or securities whose value is denominated in money terms, interest received should logically have losses in real purchasing power due to inflation deducted in measuring their real income. Tax systems, however, generally ignore this point and treat cash receipts as income.
income approach to GDP|See income method.
income distribution|The division of total income among different recipients. *Functional income distribution is the division of income among the owners of the different factors of production. *Personal income distribution is the distribution of incomes classified by size. Income distribution can be measured before and after the deduction of direct taxes and the addition of transfers.
income effect|The change in demand for a good whose price has altered which would have resulted if prices had stayed the same, but incomes had risen or fallen sufficiently to bring the consumer to the same level of welfare as after the price change. See also substitution effect.
income elasticity of demand|The ratio of proportional increase in quantity demanded to proportional increase in income, with all prices held constant. If M is income and X the quantity demanded then the income elasticity of demand, εM, is defined by
income expansion path|A graph (with the axes representing the quantities of two goods) showing how income is divided between different uses, for example importables and exportables, as its total level rises. With constant income elasticity of demand for each, the income expansion path is a ray through the origin; if consumption is biased towards importables as income rises, the income expansion path has a slope between the unit-elasticity ray and the importables axis.
income from employment|Income earned working for another person, firm, or government body. It can be measured including or excluding benefits in kind, such as housing, company cars, or free health insurance received from employers. It can also be measured gross or net of deductions by employers, including pension contributions, income tax, and social security contributions.
income from self-employment|Income of individuals derived from carrying out unincorporated businesses, as sole traders or partners. This is a combination of wages for their own or their family’s work, and a return on the capital employed in the business. It can be measured inclusive or exclusive of any imputed income, such as the services of an owner-occupied farmhouse or a flat over a shop. It can also be measured gross or net of depreciation allowances on the capital equipment employed.
income inequality|Differences in income among individuals or families, or among different groups, areas, or countries. Inequalities among individuals are accounted for by differences in earning ability, and in property. Individuals who are economically inactive, through age, ill health, or inability to find a job usually have low incomes even after taking account of social security benefits, and those who can work have varied earning power. Property is also unevenly distributed: inequalities in earned and property incomes are highly correlated, and there is also a tendency for high-income earners to intermarry. This means that families or households also show great inequality of incomes. Inequality can be measured either before or after taking account of direct taxes and social security payments: these tend to reduce income inequality but fall far short of eliminating it. Measures of inequality include the *Atkinson index and the *Gini coefficient. Regional and national income differences are similarly caused by differences in earning ability and national capital stocks. See also Lorenz curve.
income maintenance programme|A programme of economic assistance designed to raise the welfare levels of low-income families. This can take the form of direct cash handouts or *tax credit, or eligibility for in-kind benefits, such as food vouchers or subsidized health care.
income method|The procedure of measuring domestic product by adding the *factor incomes received by various members of the economy. This approach is largely based on information derived from the tax system. Its results are compared with the figures produced by the *expenditure method, which uses information on expenditures by various sectors of the economy including consumers, investors, and the government, and the *output method, which uses information on the net outputs of various sectors of the economy.
income redistribution|The use of taxation, government spending, and controls to change the distribution of real incomes. Taxation may be more or less progressive. Government spending programmes may be generally available, or may be targeted or means-tested to try to concentrate benefits on the relatively needy. Controls may be used to alter income distribution: for example, rent controls were originally designed to prevent housing shortages from shifting income from tenants to landlords, and minimum wage legislation aims to benefit low-paid workers at the expense of their employers. The extent of income redistribution through the tax system can be measured by comparing the inequality of income distributions before and after tax. The ability of the state to redistribute incomes is limited by the need to avoid too much damage to the incentives to create income by work, savings, and enterprise.
income support|Government payments to maintain individuals’ incomes at some prescribed minimum level, in the event of illness, old age, disability, or unemployment making them unable to earn sufficient income. A *negative income tax is a system in which the income support is delivered through a combined tax and social security system, which collects tax if income is above a certain level and pays out if income is below it.
income tax|A tax on income. An individual’s taxable income is calculated after deducting various allowances, in respect of assorted items which may include charitable donations, responsibility for dependants, age allowances, medical insurance, and superannuation contributions. Income for tax purposes may include or exclude imputed items such as the value of the services of owner-occupied houses. *Capital gains may be included as income, excluded, or taxed separately from income. Income tax may be collected from individuals in arrears, or by deduction at source through *pay-as-you-earn in the UK, or a withholding tax on incomes from employment and payment of dividends net of tax by companies in the US. Most countries have progressive income tax systems for which the average rate of tax rises with income. See also corporate income tax; negative income tax.
income velocity of circulation|The ratio of national income to the stock of money, on some definition of money supply. This is considerably smaller than the actual velocity of circulation, as there is a high ratio of total transactions to income in a modern economy: firms buy factor inputs in one set of markets and sell outputs in another, and there is a large quantity of trade in intermediate products. In any case there is a far larger volume of transactions on *capital account than on income account.
incomplete contract|A contract that specifies the outcome in some but not in all possible *states of the world. A contract may be incomplete through poor drafting or because some distinctions between different states are not publicly verifiable. For example, an employment contract may not be able to make the pay of a worker in a team conditional on the worker’s effort because the contribution of individual workers to the team cannot be isolated. Disagreements arising through incomplete contracts are resolved by bargaining or litigation. See also agency theory.
incomplete information|A situation in which economic agents do not know all relevant information. It is helpful to distinguish public information from private information. All agents can be assumed to know, or can learn if they choose to do so, information that is public. Each agent knows their own private information. This cannot be observed by other agents but can only be deduced through observation of actions based on this information. In a game of strategy with incomplete information participants construct a probability distribution over realizations of private information they do not possess in order to compute their optimal strategy. In some cases the lack of knowledge of other agents’ private information is not relevant. For example, in a competitive economy a consumer does not need to know the preferences or endowments of other consumers: market prices are the only relevant information for decisions, and these are assumed to be public knowledge.
incomplete markets|Situations where certain goods or services cannot be traded because there is no organized market on which to trade. Markets may be incomplete for various reasons. One is that the goods concerned have not yet been invented, so that no contract to trade them can be specified. Another is that while the conditions of a contract to trade could be specified, this would be so complex that the legal bills would outweigh the benefits. Another is that there are too few people interested in trading goods of a given type to make an organized market in them worth the costs of operating it. Incomplete markets are a source of *market failure. See also Arrow–Debreu economy; Coase theorem.
increase in the book value of stocks and work in progress|The increase over some period in the value of stocks and work in progress as shown in firms’ accounts. This can be decomposed into two parts: the value at current prices of the real increase in stocks and work in progress, and stock appreciation, that is, changes in the value of the original level of stocks due to price increases. The real change in stocks forms part of *gross domestic product; stock appreciation does not.
increasing returns to scale|In a production process, average productivity increasing with output. This means that increasing all inputs in the same proportion results in a more than proportional increase in output. Formally, consider the function f  (x1,…, xn). If the function satisfies the assumption of increasing returns to scale then
incumbent firm|A firm which is already operating in a market. In a *contestable market, where the goods produced by different firms are homogeneous and there are no *sunk costs, there is complete symmetry between an incumbent firm and would-be entrants. If goods can vary in quality, so that reputation matters, and if there are any sunk costs, the incumbent is in a stronger competitive position than potential entrants: the incumbent has established market contacts, and has already incurred the sunk costs. An incumbent will have a further competitive advantage if cost savings come from *learning by doing: an existing firm has a start on any new entrant in the experience from which cost reductions are derived.
independent risks|Risks on projects where there is no relation between the results of one and those of the other. Let the outcomes of two projects be represented by the random variables x and y, with means μx and μy. If the risks are independent then E[(x − μx)(y − μy)] = 0.
independent taxation of spouses|A system of personal taxation in which individuals are taxed separately on their income and capital gains, independent of their marital status and the income of their spouse. In the UK the independent taxation of husbands and wives was introduced in 1990; from December 2005 it was extended to same-sex couples registered under the Civil Partnership Act.
indexation|A system by which wages, prices, or the interest and redemption payments on securities are not fixed in money terms, but are adjusted in proportion to a suitable index of prices, such as the *retail price index. Similarly, pensions can be linked either to prices or to wage rates. Indexation of prices and wages is intended to stabilize real incomes and income differentials; when applied subject to time lags, it does this only approximately.
indexation|(funds) A system for making the performance of an investment or unit trust mimic that of a share index. This is done by holding, in proportions approximating to their weights in the index, all the shares concerned or a sufficiently large selection of them.
index-linked|An economic variable whose value is linked to an index number. Index-linked government securities have their interest and redemption payments linked to a suitable price index, for example the *retail price index (RPI). Index-linked securities, wage rates, or pensions may be linked either to the RPI or to some index of share prices. The advantage of index-linked securities or incomes is that they protect the holder against the effects of large unforeseen changes in the value of money. A wide spread of index-linking arrangements in an economy can make inflation more difficult to stop, as it eliminates the effects of price increases in reducing the real claims on the rest of the economy of those who hold cash and securities with values fixed in cash terms.
index number|A number showing the size of some variable, relative to a given base. The base may be assigned any value, but is usually chosen to be either 1 or 100. For a time series, the base may be the value at a given date; for cross-section data, it may be some chosen instance, or the mean of the items covered. Where an index number describes a constructed variable, such as ‘the price level’, which is an average of prices, or *gross domestic product, which is an aggregate of many different sectors, it is a weighted average of the various components. A *base-weighted or Laspeyres index uses as weights the relative sizes of the different items at the base period; a *current-weighted or Paasche index uses as weights the relative sizes of the component items during the current period.
Index of Industrial Production|An index of the volume of production covering the productive sectors of the economy. This is a weighted average of the indexes for manufacturing, mining and quarrying, public utilities, and construction. It is mainly based on measures of physical volume; it excludes private and public services.
indicative planning|An attempt to promote economic growth by influencing expectations. Indicative planning attempts to combine the advantages of decentralization and central planning. For example, growth in an economy may lag because of pessimistic expectations: firms do not expect other firms to invest, and do not feel that market prospects make it profitable for them to invest. Central planning would tell firms to invest, but this is thought to be too rigid. Under indicative planning the government sets out to produce a set of forecasts of activity in various sectors, which if believed would persuade each firm that its own investments would be profitable.
indicator|A variable used to determine the employment of *policy instruments. An indicator is used to show when a policy should be introduced, or when the level of an existing policy instrument should be changed. Policy indicators are distinguished from both targets and instruments. Economic policy targets include objectives such as high levels of employment and growth, low and stable levels of inflation, or maintenance of particular exchange rates. Policy instruments are variables the government or central bank can control, or at least influence, such as tax rates or the money supply. Policy indicators may themselves be targets, but frequently are not. They are preferred to targets for use in decision-making because they are available sooner or can be measured more reliably than targets. Policy instruments cannot be indicators for the authority that decides them, but where decision-making is decentralized, one authority’s instrument may be used as another’s indicator. See also economic indicators; leading indicator.
indifference curve|A graphical representation of the set of commodity bundles that are ranked as equally good by a consumer. If commodity bundles x and y are on the same indifference curve then the consumer is indifferent between x and y; and for any *utility function representing the consumer’s preferences U(x) = U(y).
indirect investment|The purchase of securities that represent claims on other underlying securities. An indirect investment can be undertaken by purchasing the shares of an investment company; the investment company sells shares in itself to raise funds to purchase a portfolio of securities. The motivation for indirect investment is that the pooling of funds allows advantage to be taken of diversification and of savings in *transaction costs. Many investment companies operate in line with a stated policy objective, for example on the types of securities that will be purchased and the nature of the fund management. See also mutual fund.
indirect least squares|A method for estimating the structural parameters of a single equation in a *simultaneous equations model. It involves estimating the parameters of the system in the *reduced form using *ordinary least squares and solving for the structural parameters in terms of the reduced form parameters. This procedure may result in over- or under-identification of the structural parameters.
indirect tax|A tax collected by an intermediary (such as a supplier) from the economic agent who bears the formal incidence of the tax (such as the customer). Taxes levied on goods or services, for example *value-added tax or excise duties on alcohol and tobacco, are seen as indirect. These taxes are indirect because the tax payment to the revenue service is made by the firm selling the good but the tax is charged to the consumer. The extent to which the tax burden is shared between the supplier and the customer (the economic incidence) depends on the elasticities of supply and demand. See also incidence of taxation; tax shifting.
indirect utility function|The maximum utility level a consumer can achieve expressed as a function of prices and income. Consider a consumer choosing the quantities x1 and x2 of two goods to maximize utility subject to a budget constraint. The utility maximization problem is
Individual Retirement Account|(IRA) A US retirement plan that provides tax advantages on savings for retirement. IRAs were introduced in 1974 to permit saving in tax-privileged form for employees without pension plans. Eligibility for IRAs was expanded by the *Economic Recovery Tax Act of 1981 to permit almost all working taxpayers to contribute, and the IRA limits were increased. This led to a major increase in saving in IRAs. The *Tax Reform Act of 1986 changed the position by excluding higher-income taxpayers with employer-provided pensions.
